"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"CEMI","Chembio Diagnostics, Inc.","4.088","39290336.232","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cemi",
"CHE","Chemed Corp.","117.88","2005193496.32","n/a","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/che",
"CCXI","ChemoCentryx, Inc.","8.12","351924908.72","n/a","2012","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ccxi",
"CMRX","Chimerix, Inc.","40.48","1646391225.6","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cmrx",
"CBPO","China Biologic Products, Inc.","77.99","1922969169.88","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cbpo",
"NPD","China Nepstar Chain Drugstore Ltd","1.63","160881000","n/a","2007","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/npd",
"CPHI","China Pharma Holdings, Inc.","0.415","18085516.155","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cphi",
"CI","Cigna Corporation","122.48","31654064100.64","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/ci",
"CPHR","Cipher Pharmaceuticals Inc.","11.5047","297865472.5908","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cphr",
"CIVI","Civitas Solutions, Inc.","19.07","704636500","n/a","2014","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/civi",
"CBLI","Cleveland BioLabs, Inc.","3.54","12158745.96","n/a","2006","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/cbli",
"CLVS","Clovis Oncology, Inc.","79.05","2689113809.25","n/a","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/clvs",
"CHRS","Coherus BioSciences, Inc.","32.85","1092524577.3","n/a","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/chrs",
"CBRX","Columbia Laboratories, Inc.","7.23","77880482.73","n/a","1988","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cbrx",
"CYH","Community Health Systems, Inc.","49.45","5773669501.25","n/a","2000","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/cyh",
"CYHHZ","Community Health Systems, Inc.","0.024","0","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/cyhhz",
"CGEN","Compugen Ltd.","8.38","419761138.64","n/a","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cgen",
"CNAT","Conatus Pharmaceuticals Inc.","6.2","97274069.2","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cnat",
"CNCE","Concert Pharmaceuticals, Inc.","14.61","265702412.79","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cnce",
"CCM","Concord Medical Services Holdings Limited","6.8","305628944.4","n/a","2009","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/ccm",
"CNMD","CONMED Corporation","51.36","1415930280.96","n/a","1987","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/cnmd",
"CFRX","ContraFect Corporation","4.3","86934230.9","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cfrx",
"CFRXW","ContraFect Corporation","1.65","0","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cfrxw",
"CFRXZ","ContraFect Corporation","0.6","0","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cfrxz",
"COO","Cooper Companies, Inc. (The)","165.73","8004742427","n/a","n/a","Health Care","Ophthalmic Goods","http://www.nasdaq.com/symbol/coo",
"CORT","Corcept Therapeutics Incorporated","3.51","355177486.17","n/a","1982","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cort",
"CORI","Corium International, Inc.","6.95","125592324.1","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cori",
"CRMD","CorMedix Inc","5.62","125793027.62","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/crmd",
"CNDO","Coronado Biosciences, Inc.","2.6","115211701.8","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cndo",
"CRY","CryoLife, Inc.","10.51","296450430.61","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/cry",
"CTIC","CTI BioPharma Corp.","2.38","427899190.88","n/a","1997","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ctic",
"CPIX","Cumberland Pharmaceuticals Inc.","6.35","110223750.85","n/a","2009","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cpix",
"CRIS","Curis, Inc.","3.08","317789638.32","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cris",
"CUTR","Cutera, Inc.","13.31","186873824.17","n/a","2004","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/cutr",
"CVS","CVS Health Corporation","104.19","117240082876.41","n/a","n/a","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/cvs",
"CYBX","Cyberonics, Inc.","70.15","1826210530.55","n/a","1993","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/cybx",
"CYCC","Cyclacel Pharmaceuticals, Inc.","1.69","38830242.75","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cycc",
"CYCCP","Cyclacel Pharmaceuticals, Inc.","7.97","2672125.81","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cyccp",
"CBAY","Cymabay Therapeutics Inc.","8.35","122636191.15","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cbay",
"CYNO","Cynosure, Inc.","31.04","671954106.24","n/a","2005","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/cyno",
"CYTK","Cytokinetics, Incorporated","7.87","288111106.47","n/a","2004","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cytk",
"CYTX","Cytori Therapeutics Inc","1.12","103543100.64","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/cytx",
"CTSO","Cytosorbents Corporation","11.39","279314692","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/ctso",
"CYTR","CytRx Corporation","3.18","177242327.58","n/a","1986","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cytr",
"DARA","DARA Biosciences, Inc.","0.9598","18803053.081","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/dara",
"DVA","DaVita healthCare Partners Inc.","75.56","16305848000","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/dva",
"DXR","Daxor Corporation","7","28238518","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/dxr",
"DBVT","DBV Technologies S.A.","21.85","138295030.2","6329292","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/dbvt",
"DHRM","Dehaier Medical Systems Limited","3.15","18394976.25","n/a","2010","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/dhrm",
"DCTH","Delcath Systems, Inc.","1.2","11650609.2","n/a","2000","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/dcth",
"XRAY","DENTSPLY International Inc.","53.42","7497568529.38","n/a","1987","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/xray",
"DEPO","Depomed, Inc.","23.06","1373427196.3","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/depo",
"DSCI","Derma Sciences, Inc.","7.96","200977248.08","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/dsci",
"DERM","Dermira, Inc.","16.29","400734000","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/derm",
"DXCM","DexCom, Inc.","59.66","4624523124.1","n/a","2005","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/dxcm",
"DRNA","Dicerna Pharmaceuticals, Inc.","24.61","437400593.07","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/drna",
"DRAD","Digirad Corporation","4.38","72642405.12","n/a","2004","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/drad",
"DPRX","Dipexium Pharmaceuticals, Inc.","13.9","118676490.3","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/dprx",
"DPLO","Diplomat Pharmacy, Inc.","31.53","1622178961.38","n/a","2014","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/dplo",
"DSCO","Discovery Laboratories, Inc.","1.61","137393320.26","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/dsco",
"DVCR","Diversicare Healthcare Services Inc.","10.2","62794586.4","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/dvcr",
"RDY","Dr. Reddy&#39;s Laboratories Ltd","54.25","9242346765.75","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/rdy",
"DRRX","Durect Corporation","1.03","117085784.57","n/a","2000","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/drrx",
"DYAX","Dyax Corp.","15.72","2144418365.04","n/a","2000","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/dyax",
"DVAX","Dynavax Technologies Corporation","18.81","49457847.78","n/a","2004","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/dvax",
"EGRX","Eagle Pharmaceuticals, Inc.","37.68","528902102.4","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/egrx",
"ECTE","Echo Therapeutics, Inc.","2.5","31578987.5","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/ecte",
"EDAP","EDAP TMS S.A.","3.84","96735736.32","25191598","1997","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/edap",
"EW","Edwards Lifesciences Corporation","135.85","14650052860.3","n/a","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/ew",
"EGLT","Egalet Corporation","15.33","264958553.79","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/eglt",
"ELMD","Electromed, Inc.","2.48","20171965.36","n/a","2011","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/elmd",
"EBIO","Eleven Biotherapeutics, Inc.","11.36","185047118.24","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ebio",
"LLY","Eli Lilly and Company","71.12","79021712355.04","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/lly",
"EBS","Emergent Biosolutions, Inc.","30.1","1130315922.4","n/a","2006","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ebs",
"ENTA","Enanta Pharmaceuticals, Inc.","35.86","669879646.04","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/enta",
"ENDP","Endo International plc","87.32","15080580079.8","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/endp",
"ECYT","Endocyte, Inc.","6.05","252346280.45","n/a","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ecyt",
"ELGX","Endologix, Inc.","16","1071813904","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/elgx",
"ENTL","Entellus Medical, Inc.","20.91","390568229.58","n/a","2015","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/entl",
"ETRM","EnteroMedics Inc.","1.11","76705338.99","n/a","2007","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/etrm",
"EVHC","Envision Healthcare Holdings, Inc.","36.32","6665626474.56","n/a","2013","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/evhc",
"ENZ","Enzo Biochem, Inc.","3.07","137388640","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/enz",
"ENZN","Enzon Pharmaceuticals, Inc.","1.1","48556574","n/a","1984","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/enzn",
"EPRS","EPIRUS Biopharmaceuticals, Inc.","11.25","253508647.5","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/eprs",
"EPZM","Epizyme, Inc.","23.93","817526165.69","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/epzm",
"ERB","ERBA Diagnostics, Inc.","3.4668","152567700.5628","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/erb",
"ESMC","Escalon Medical Corp.","1.52","11440173.6","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/esmc",
"ESPR","Esperion Therapeutics, Inc.","61.41","1249678331.73","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/espr",
"EVOK","Evoke Pharma, Inc.","5.57","34044346.87","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/evok",
"EXAS","EXACT Sciences Corporation","21.6","1826993534.4","n/a","2001","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/exas",
"EXAC","Exactech, Inc.","23.21","320487625.7","n/a","1996","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/exac",
"EXAM","ExamWorks Group, Inc.","40.98","1641213183.48","n/a","2010","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/exam",
"EXEL","Exelixis, Inc.","3.09","603216806.55","n/a","2000","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/exel",
"ESRX","Express Scripts Holding Company","84.93","61735447140","n/a","1992","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/esrx",
"FATE","Fate Therapeutics, Inc.","4.97","102229913.03","n/a","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/fate",
"FCSC","Fibrocell Science Inc","4.64","189575621.6","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/fcsc",
"FGEN","FibroGen, Inc","32.09","1817581001.54","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/fgen",
"FPRX","Five Prime Therapeutics, Inc.","26.09","664331000.59","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/fprx",
"FVE","Five Star Quality Care, Inc.","3.75","182478907.5","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/fve",
"FLML","Flamel Technologies S.A.","15.72","595185420.96","37861668","1996","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/flml",
"FLKS","Flex Pharma, Inc.","17.78","316580172.02","n/a","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/flks",
"FLXN","Flexion Therapeutics, Inc.","22.72","486737103.36","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/flxn",
"FONR","Fonar Corporation","13.13","84471841.87","n/a","1981","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/fonr",
"FWP","Forward Pharma A/S","23.13","259055537.4","11199980","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/fwp",
"FMI","Foundation Medicine, Inc.","48.35","1380747920.85","n/a","2013","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/fmi",
"FMS","Fresenius Medical Care Corporation","41.13","24797012040.54","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/fms",
"GALT","Galectin Therapeutics Inc.","3.37","74556474.71","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/galt",
"GALTU","Galectin Therapeutics Inc.","7.7","0","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/galtu",
"GALTW","Galectin Therapeutics Inc.","1.2747","0","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/galtw",
"GALE","Galena Biopharma, Inc.","1.81","219837383.58","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gale",
"GLMD","Galmed Pharmaceuticals Ltd.","9.79","108673434.87","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/glmd",
"GEN           ","Genesis Healthcare, Inc.","7.11","1091762299.26","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/gen           ",
"GENE","Genetic Technologies Ltd","5.73","12894826.38","2250406","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/gene",
"GNMK","GenMark Diagnostics, Inc.","12.98","543628178.28","n/a","2010","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/gnmk",
"GNCA","Genocea Biosciences, Inc.","8.82","155321558.28","n/a","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/gnca",
"GHDX","Genomic Health, Inc.","31.1","986542693","n/a","2005","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/ghdx",
"GNVC","GenVec, Inc.","3.19","55091178.78","n/a","2000","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gnvc",
"GERN","Geron Corporation","3.02","474778690.74","n/a","1996","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gern",
"GILD","Gilead Sciences, Inc.","103.83","154644576745.89","n/a","1992","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/gild",
"GSK","GlaxoSmithKline PLC","47.93","115127860000","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gsk",
"GBIM","GlobeImmune, Inc.","7.48","43002362.92","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gbim",
"GMED","Globus Medical, Inc.","24.37","2309336000.36","n/a","2012","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/gmed",
"GLYC","GlycoMimetics, Inc.","8.51","160794254.42","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/glyc",
"GBSN","Great Basin Scientific, Inc.","2.79","14191217.82","n/a","2014","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/gbsn",
"GRFS","Grifols, S.A.","31.81","2535082426.72","79694512","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/grfs",
"GTXI","GTx, Inc.","0.75","105244232.25","n/a","2004","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gtxi",
"GWPH","GW Pharmaceuticals Plc","80.28","955534546.44","11902523","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/gwph",
"HAE","Haemonetics Corporation","44.28","2280046631.04","n/a","1991","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/hae",
"HALO","Halozyme Therapeutics, Inc.","15.22","1908391403.26","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/halo",
"HYH","Halyard Health, Inc.","46.75","2175555709.25","n/a","2014","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/hyh",
"HGR","Hanger, Inc.","26.44","933092612.24","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/hgr",
"HNSN","Hansen Medical, Inc.","0.83","109988776.34","n/a","2006","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/hnsn",
"HART          ","Harvard Apparatus Regenerative Technology, Inc.","4.15","32604919.05","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/hart          ",
"HCA","HCA Holdings, Inc.","71.99","30277302235","n/a","2011","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/hca",
"HNT","Health Net Inc.","57.57","4485821239.68","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/hnt",
"HCSG","Healthcare Services Group, Inc.","33.32","2374416520","n/a","1983","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/hcsg",
"HLS","HealthSouth Corporation","44.11","3870781786.41","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/hls",
"HWAY","Healthways, Inc.","22.32","789897010.32","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/hway",
"HTWR","Heartware International, Inc.","85.11","1448422151.07","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/htwr",
"HTBX","Heat Biologics, Inc.","6.8","44075913.6","n/a","2013","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/htbx",
"HEB","Hemispherx BioPharma, Inc.","0.25","50006968.5","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/heb",
"HSIC","Henry Schein, Inc.","141.88","11889807896.8","n/a","1995","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/hsic",
"HLF","Herbalife LTD.","30.44","2804349776.32","n/a","2004","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/hlf",
"HRTX","Heron Therapeutics, Inc.  ","13.33","388970719.67","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/hrtx",
"HSKA","Heska Corporation","21.35","134924399.4","n/a","1997","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/hska",
"HRC","Hill-Rom Holdings Inc","48.31","2729836792.91","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/hrc",
"HSGX","Histogenics Corporation","10.98","140069718.9","n/a","2014","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/hsgx",
"HOLX","Hologic, Inc.","32.68","9148783614.52","n/a","1990","Health Care","Medical Electronics","http://www.nasdaq.com/symbol/holx",
"HH","Hooper Holmes, Inc.","0.57","40393963.71","n/a","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/hh",
"HZNP","Horizon Pharma plc","20.51","2565805307.1","n/a","2011","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/hznp",
"HSP","Hospira Inc","87.67","14999589613.25","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/hsp",
"HUM","Humana Inc.","162","24236479314","n/a","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/hum",
"HPTX","Hyperion Therapeutics, Inc.","30.17","625226848.54","n/a","2012","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/hptx",
"IBIO","iBio, Inc.","0.97","71761917.26","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ibio",
"ICAD","icad inc.","9.86","153253092.6","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/icad",
"ICLR","ICON plc","69.41","4273652896.81","n/a","1998","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/iclr",
"ICUI","ICU Medical, Inc.","89.12","1393892589.12","n/a","1992","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/icui",
"IDRA","Idera Pharmaceuticals, Inc.","4.84","570292553.6","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/idra",
"IDXX","IDEXX Laboratories, Inc.","159.46","7514648335.46","n/a","1991","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/idxx",
"IG","IGI Laboratories, Inc.","11.45","604420161.15","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/ig",
"RXDX","Ignyta, Inc.","8.05","157625190.45","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/rxdx",
"KANG","iKang Healthcare Group, Inc.","16.81","482156422.34","28682714","2014","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/kang",
"ICCC","ImmuCell Corporation","7","21189238","n/a","1987","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/iccc",
"IMDZ","Immune Design Corp.","23.17","391082189.89","n/a","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/imdz",
"IMNP          ","Immune Pharmaceuticals Inc.","1.74","33403232.4","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/imnp          ",
"IMUC","ImmunoCellular Therapeutics, Ltd.","0.574","37083168.402","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/imuc",
"IMGN","ImmunoGen, Inc.","7.89","679390944.39","n/a","1989","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/imgn",
"IMMU","Immunomedics, Inc.","4.155","388023604.095","n/a","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","http://www.nasdaq.com/symbol/immu",
"IPXL","Impax Laboratories, Inc.","40.45","2885299875.3","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ipxl",
"IMMY","Imprimis Pharmaceuticals, Inc.","7.87","72839336.92","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/immy",
"IMRS","Imris Inc","0.97","60716515.62","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/imrs",
"INCR","INC Research Holdings, Inc.","29.98","1836385116.54","n/a","2014","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/incr",
"INCY","Incyte Corporation","88.68","15232172609.88","n/a","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch","http://www.nasdaq.com/symbol/incy",
"INFI","Infinity Pharmaceuticals, Inc.","15.96","780767764.56","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/infi",
"INFU","InfuSystems Holdings, Inc.","2.62","58385623.18","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/infu",
"INNL","Innocoll AG","8","53495656","6686957","2014","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/innl",
"INGN","Inogen, Inc","33.62","626303618","n/a","2014","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/ingn",
"ITEK","Inotek Pharmaceuticals Corporation","6.04","95900039.6","n/a","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/itek",
"INO","Inovio Pharmaceuticals, Inc.","7.17","434438057.94","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/ino",
"INSM","Insmed, Inc.","18.78","938889892.86","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/insm",
"NSPR","InspireMD, Inc.","0.6","25440786.6","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/nspr",
